nearestid,country,averageincquintile,lengthinmetres,lengthinmetresbeforesimplification,startlat,startlon,endlat,endlon,average2019detachedhouseprice,coastalpopulationdensity
50041,France,4.1,24841,35316,49.7271,-1.9425,49.6446,-1.6225,0,425
50618,France,3.1,26431,36194,49.6446,-1.6225,49.6988,-1.2659,0,420
50013,France,2.3,16856,28739,49.6988,-1.2659,49.55,-1.3104,0,120
50099,France,2.3,28608,39213,49.55,-1.3104,49.3262,-1.1158,0,133
50099,France,2.3,13448,18389,49.3262,-1.1158,49.3979,-0.9667,0,140
14281,France,3.7,63460,82818,49.3979,-0.9667,49.2771,-0.1133,0,290
14699,France,3.7,48454,68598,49.2771,-0.1133,49.4762,0.48,0,534
76660,France,3.8,28159,34193,49.4762,0.48,49.4804,0.0916,0,1117
76351,France,4,5973,8092,49.4804,0.0916,49.4758,0.1737,0,4181
76552,France,4.1,9071,14405,49.4758,0.1737,49.5167,0.0654,0,2765
76595,France,4,22818,24408,49.5167,0.0654,49.7054,0.1891,0,1074
76254,France,3.3,32545,39053,49.7054,0.1891,49.8521,0.5799,0,212
76683,France,3.1,37579,46838,49.8521,0.5799,49.9179,1.0925,0,251
76618,France,2.7,44640,51429,49.9179,1.0925,50.2096,1.52,0,288
80182,France,2.4,10824,14709,50.2096,1.52,50.1833,1.6658,0,241
80713,France,2.4,13852,31480,50.1833,1.6658,50.2775,1.5391,0,215
80713,France,2.9,66118,86645,50.2775,1.5391,50.8708,1.5791,0,311
59271,France,2.9,68678,76021,50.8708,1.5791,51.0762,2.5,0,538
31004B0PA,Belgium,2.7,79565,90365,51.0762,2.5,51.4087,3.5065,0,530
43002D082,Belgium,3.5,22831,27363,51.4087,3.5065,51.3345,3.8114,0,595
43002A09-,Belgium,3.3,14040,18682,51.3345,3.8114,51.4079,3.9748,0,692
46003E081,Belgium,3.9,20213,40414,51.4079,3.9748,51.3521,4.2503,0,564
46003E081,Belgium,3.9,22654,29958,51.3521,4.2503,51.4596,3.9748,0,666
11002L090,Belgium,4,33580,47470,51.607,3.8348,51.4329,4.2285,0,581
11002L090,Belgium,3.1,11854,20045,51.4329,4.2285,51.5391,4.2341,0,1202
,,,,,,,,,,
2A163,France,2.1,20237,40545,41.4745,9,41.5558,8.7862,0,12
2A035,France,2.4,18540,32517,41.5558,8.7862,41.6904,8.9134,0,57
2A189,France,2.6,22166,35374,41.6904,8.9134,41.7408,8.6588,0,50
2A098,France,3.7,21060,39955,41.7408,8.6588,41.8942,8.8029,0,400
2A130,France,4,16365,24608,41.8942,8.8029,41.8933,8.6079,0,537
2A004,France,4.2,7820,12034,41.8933,8.6079,41.9617,8.5904,0,618
2A004,France,3.8,16337,24226,41.9617,8.5904,42.0483,8.7471,0,471
2A065,France,3.4,19244,32950,42.0483,8.7471,42.1458,8.5579,0,72
2A212,France,2.4,10371,25404,42.1458,8.5579,42.2371,8.5391,0,18
2A212,France,2.1,13230,16365,42.2371,8.5391,42.2658,8.6929,0,14
2A198,France,2.1,17097,36124,42.2658,8.6929,42.3683,8.5412,0,11
2B121,France,2,11067,21217,42.3683,8.5412,42.4166,8.6571,0,5
2B050,France,1.9,19548,37230,42.4166,8.6571,42.5838,8.7225,0,43
2B316,France,1.9,25083,47420,42.5838,8.7225,42.6404,9.0149,0,80
2B314,France,1.9,13674,21275,42.6404,9.0149,42.7321,9.1233,0,60
2B314,France,2.7,15873,25894,42.7321,9.1233,42.6762,9.2991,0,52
2B233,France,2.3,36110,49539,42.6762,9.2991,42.9958,9.3421,0,178
2B086,France,1.5,7732,9743,42.9958,9.3421,43.0196,9.43,0,20
2B346,France,2,101711,118063,43.0196,9.43,42.12,9.5537,0,106
2B277,France,1.4,22313,28862,42.12,9.5537,41.9583,9.3996,0,65
2B283,France,1.9,29617,37897,41.9583,9.3996,41.695,9.4021,0,55
2A247,France,2.1,14435,33437,41.695,9.4021,41.6041,9.2813,0,117
2A247,France,2.4,7427,13794,41.6041,9.2813,41.5925,9.3679,0,199
2A041,France,2.4,28495,59434,41.5925,9.3679,41.365,9.2196,0,63
